x,Ch1_1,is_cusum_turning,is_steep_endpoint
22124.0,3344.0,1,0
22126.0,3744.0,0,1
22127.0,3605.0,0,1
22142.0,1427.0,1,1
22178.0,1437.0,0,1
22183.0,4576.0,1,1
22185.0,4257.0,1,0
22190.0,4367.0,1,1
22206.0,5235.0,0,1
22209.0,5231.0,1,0
22236.0,5814.0,0,1
22245.0,8484.0,1,0
22247.0,8704.0,1,0
22250.0,11288.0,0,1
22251.0,11021.0,0,1
22252.0,9463.0,1,0
22255.0,5837.0,1,0
22258.0,4776.0,1,0
22260.0,4580.0,1,0
22263.0,4567.0,0,1
22264.0,4661.0,0,1
22283.0,5513.0,1,0
22289.0,8312.0,0,1
22290.0,7659.0,0,1
22293.0,6466.0,1,0
22298.0,3365.0,1,0
22300.0,3840.0,0,1
22301.0,3714.0,1,1
22317.0,1442.0,1,1
22352.0,1480.0,0,1
22357.0,4549.0,1,1
22361.0,4299.0,1,0
22364.0,4436.0,1,1
22378.0,5116.0,1,0
22390.0,5506.0,0,1
22401.0,5684.0,1,0
22410.0,5842.0,0,1
22419.0,8584.0,1,0
22421.0,8886.0,1,0
22424.0,11581.0,0,1
22425.0,10926.0,0,1
22426.0,9548.0,1,0
22429.0,5990.0,1,0
22432.0,4753.0,1,0
22438.0,4691.0,0,1
22439.0,4779.0,0,1
22450.0,5288.0,1,0
22455.0,5547.0,0,1
22458.0,5450.0,1,1
22463.0,8440.0,1,1
22467.0,6799.0,1,1
22472.0,3388.0,1,0
22474.0,3843.0,0,1
22475.0,3718.0,1,1
22491.0,1447.0,1,1
22526.0,1484.0,0,1
22531.0,4610.0,1,1
22534.0,4274.0,1,0
22540.0,4556.0,0,1
22558.0,5476.0,1,1
22561.0,5413.0,1,0
22584.0,5915.0,0,1
22593.0,8686.0,1,0
22595.0,9084.0,1,0
22598.0,11696.0,0,1
22599.0,11449.0,0,1
22600.0,9861.0,1,0
22604.0,5573.0,1,0
22608.0,4630.0,1,0
22612.0,4702.0,0,1
22617.0,4983.0,0,1
22631.0,5549.0,1,0
22637.0,8412.0,1,1
22638.0,7797.0,0,1
22646.0,3454.0,1,0
22648.0,4035.0,0,1
22649.0,3772.0,1,1
22665.0,1452.0,1,1
22701.0,1464.0,0,1
22705.0,5388.0,0,1
22706.0,4650.0,1,0
22710.0,4466.0,1,0
22726.0,5155.0,1,1
22732.0,5491.0,0,1
22752.0,5805.0,1,0
22758.0,5910.0,0,1
22769.0,9302.0,1,0
22771.0,9670.0,1,0
22772.0,11880.0,0,1
22773.0,11512.0,0,1
22774.0,9813.0,1,0
22777.0,6148.0,1,0
