event_id,direction,start_idx,end_idx,start_x,end_x,start_y,end_y,duration,delta_y,max_abs_slope
1419,down,49948,49960,49949.0,49961.0,41861.0,24626.0,12,-17235.0,3599.199999999998
1420,up,49961,49968,49962.0,49969.0,24641.0,41882.0,7,17241.0,5392.799999999998
1421,down,49968,49980,49969.0,49981.0,41882.0,24568.0,12,-17314.0,3440.199999999998
1422,up,49981,49988,49982.0,49989.0,24581.0,41616.0,7,17035.0,5357.800000000002
1423,down,49988,50000,49989.0,50001.0,41616.0,24622.0,12,-16994.0,3035.8
1424,up,50001,50008,50002.0,50009.0,24696.0,41680.0,7,16984.0,5317.2
1425,down,50008,50022,50009.0,50023.0,41680.0,24557.0,14,-17123.0,3458.3999999999987
1426,up,50022,50028,50023.0,50029.0,24557.0,41927.0,6,17370.0,5357.999999999995
1427,down,50028,50042,50029.0,50043.0,41927.0,24704.0,14,-17223.0,3165.199999999998
1428,up,50042,50048,50043.0,50049.0,24704.0,41688.0,6,16984.0,5466.000000000003
1429,down,50048,50060,50049.0,50061.0,41688.0,24743.0,12,-16945.0,3496.8
1430,up,50061,50068,50062.0,50069.0,24371.0,41790.0,7,17419.0,5453.400000000004
1431,down,50068,50082,50069.0,50083.0,41790.0,24472.0,14,-17318.0,2962.2000000000016
1432,up,50082,50088,50083.0,50089.0,24472.0,41704.0,6,17232.0,5390.800000000002
1433,down,50088,50102,50089.0,50103.0,41704.0,24533.0,14,-17171.0,2962.2000000000016
1434,up,50102,50108,50103.0,50109.0,24533.0,42214.0,6,17681.0,5428.400000000004
1435,down,50108,50120,50109.0,50121.0,42214.0,24510.0,12,-17704.0,3320.000000000001
1436,up,50121,50128,50122.0,50129.0,24622.0,41817.0,7,17195.0,5372.2000000000035
1437,down,50128,50140,50129.0,50141.0,41817.0,24617.0,12,-17200.0,3310.2000000000016
1438,up,50141,50148,50142.0,50149.0,24420.0,41994.0,7,17574.0,5422.400000000004
1439,down,50148,50160,50149.0,50161.0,41994.0,24612.0,12,-17382.0,3545.2000000000016
1440,up,50161,50168,50162.0,50169.0,24779.0,41927.0,7,17148.0,5371.2
1441,down,50168,50182,50169.0,50183.0,41927.0,24554.0,14,-17373.0,3042.8
1442,up,50182,50188,50183.0,50189.0,24554.0,41779.0,6,17225.0,5466.999999999995
1443,down,50188,50200,50189.0,50201.0,41779.0,24718.0,12,-17061.0,3028.000000000001
1444,up,50201,50208,50202.0,50209.0,24419.0,42022.0,7,17603.0,5470.600000000001
1445,down,50208,50222,50209.0,50223.0,42022.0,24386.0,14,-17636.0,3320.199999999998
1446,up,50222,50228,50223.0,50229.0,24386.0,42051.0,6,17665.0,5445.600000000001
1447,down,50228,50240,50229.0,50241.0,42051.0,24493.0,12,-17558.0,3030.5999999999995
1448,up,50241,50248,50242.0,50249.0,24513.0,42418.0,7,17905.0,5438.2
1449,down,50248,50260,50249.0,50261.0,42418.0,24456.0,12,-17962.0,3442.4000000000024
1450,up,50261,50268,50262.0,50269.0,24451.0,42390.0,7,17939.0,5516.999999999995
1451,down,50268,50282,50269.0,50283.0,42390.0,24614.0,14,-17776.0,3086.399999999995
1452,up,50282,50288,50283.0,50289.0,24614.0,42343.0,6,17729.0,5541.999999999999
1453,down,50288,50302,50289.0,50303.0,42343.0,24476.0,14,-17867.0,3430.5999999999995
1454,up,50302,50308,50303.0,50309.0,24476.0,42191.0,6,17715.0,5484.600000000001
1455,down,50308,50322,50309.0,50323.0,42191.0,24593.0,14,-17598.0,3073.599999999996
1456,up,50322,50328,50323.0,50329.0,24593.0,42182.0,6,17589.0,5445.000000000003
1457,down,50328,50340,50329.0,50341.0,42182.0,24576.0,12,-17606.0,3273.8
1458,up,50341,50348,50342.0,50349.0,24656.0,42138.0,7,17482.0,5467.999999999999
1459,down,50348,50362,50349.0,50363.0,42138.0,24631.0,14,-17507.0,3119.9999999999973
1460,up,50362,50368,50363.0,50369.0,24631.0,41934.0,6,17303.0,5601.000000000003
1461,down,50368,50382,50369.0,50383.0,41934.0,24399.0,14,-17535.0,3486.000000000001
1462,up,50382,50388,50383.0,50389.0,24399.0,42406.0,6,18007.0,5443.400000000001
1463,down,50388,50400,50389.0,50401.0,42406.0,24484.0,12,-17922.0,3051.8
1464,up,50401,50408,50402.0,50409.0,24574.0,42185.0,7,17611.0,5547.399999999997
1465,down,50408,50420,50409.0,50421.0,42185.0,24664.0,12,-17521.0,3057.800000000004
1466,up,50421,50428,50422.0,50429.0,24513.0,42483.0,7,17970.0,5483.599999999998
1467,down,50428,50440,50429.0,50441.0,42483.0,24351.0,12,-18132.0,3166.3999999999987
1468,up,50441,50448,50442.0,50449.0,24527.0,42696.0,7,18169.0,5592.000000000003
1469,down,50448,50460,50449.0,50461.0,42696.0,24661.0,12,-18035.0,3321.5999999999995
1470,up,50461,50468,50462.0,50469.0,24751.0,42383.0,7,17632.0,5477.2
1471,down,50468,50482,50469.0,50483.0,42383.0,24565.0,14,-17818.0,3476.000000000001
1472,up,50482,50488,50483.0,50489.0,24565.0,42367.0,6,17802.0,5480.599999999998
1473,down,50488,50500,50489.0,50501.0,42367.0,24218.0,12,-18149.0,3083.199999999998
1474,up,50501,50508,50502.0,50509.0,24586.0,42273.0,7,17687.0,5702.000000000003
1475,down,50508,50522,50509.0,50523.0,42273.0,24436.0,14,-17837.0,3079.400000000006
1476,up,50522,50528,50523.0,50529.0,24436.0,42608.0,6,18172.0,5569.2
1477,down,50528,50542,50529.0,50543.0,42608.0,24595.0,14,-18013.0,3204.8
1478,up,50542,50548,50543.0,50549.0,24595.0,42312.0,6,17717.0,5495.2000000000035
1479,down,50548,50560,50549.0,50561.0,42312.0,24569.0,12,-17743.0,3133.600000000003
1480,up,50561,50568,50562.0,50569.0,24687.0,42519.0,7,17832.0,5536.799999999998
1481,down,50568,50580,50569.0,50581.0,42519.0,24688.0,12,-17831.0,3574.800000000004
1482,up,50581,50588,50582.0,50589.0,24665.0,42666.0,7,18001.0,5575.400000000004
1483,down,50588,50600,50589.0,50601.0,42666.0,24766.0,12,-17900.0,3457.000000000001
1484,up,50601,50608,50602.0,50609.0,24596.0,42700.0,7,18104.0,5501.400000000004
1485,down,50608,50620,50609.0,50621.0,42700.0,24643.0,12,-18057.0,3321.2000000000016
1486,up,50621,50628,50622.0,50629.0,24699.0,42994.0,7,18295.0,5623.000000000003
1487,down,50628,50640,50629.0,50641.0,42994.0,24661.0,12,-18333.0,3857.2000000000016
1488,up,50641,50648,50642.0,50649.0,24643.0,42652.0,7,18009.0,5639.199999999996
1489,down,50648,50660,50649.0,50661.0,42652.0,24462.0,12,-18190.0,3369.9999999999973
1490,up,50661,50668,50662.0,50669.0,24771.0,42691.0,7,17920.0,5596.400000000001
